Run,Model,TwoStage,ROI,MildAug,AUROC,AUPRC,Sens,Spec,F1,BalAcc,Threshold,TP,TN,FP,FN
A,efficientnet_b0,False,False,True,0.8271308523409364,0.8688526810025681,0.9387755102040817,0.6470588235294118,0.8598130841121495,0.7929171668667467,0.31,46,22,12,3
B,efficientnet_b0,True,False,True,0.7334933973589436,0.7929824525226106,0.9183673469387755,0.29411764705882354,0.7627118644067796,0.6062424969987995,0.25,45,10,24,4
C,efficientnet_b0,True,True,True,0.7334933973589436,0.7788713065432764,0.9183673469387755,0.38235294117647056,0.782608695652174,0.650360144057623,0.32,45,13,21,4
D,mobilenet_v3_small,True,True,True,0.709483793517407,0.7520965778873321,0.9183673469387755,0.38235294117647056,0.782608695652174,0.650360144057623,0.34,45,13,21,4
E,resnet18,True,True,True,0.8199279711884753,0.838975634605229,0.9183673469387755,0.6176470588235294,0.8411214953271028,0.7680072028811524,0.32,45,21,13,4
